Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(5,7) to the modular symbol (1,8) - 1/2*(1,9) of weight 2 and level 11.  Data generated by the following Sage code:

ms11 = ModularSymbols(Gamma0(11), 2).minus_submodule().cuspidal_submodule().gen(0)
jj = compute_jacobi_fast(ms11, 5, 7, 2000)

Weight: 2
Index: 11

Coefficients:
====================================
  Delta      r     c(Delta,r)
   1529     11              0
   1532      6             -5
   1532     16              5
   1533      9            -30
   1533     13             30
   1540      0              0
   1541      1            -15
   1541     21             15
   1544      2             20
   1544     20            -20
   1545      7             10
   1545     15            -10
   1549      3             15
   1549     19            -15
   1552     10            -20
   1552     12             20
   1556      4             -5
   1556     18              5
   1560      8            -30
   1560     14             30
   1565      5            -15
   1565     17             15
   1573     11              0
   1576      6              0
   1576     16              0
   1577      9            -10
   1577     13             10
   1584      0              0
   1585      1             15
   1585     21            -15
   1588      2            -10
   1588     20             10
   1589      7             10
   1589     15            -10
   1593      3             -5
   1593     19              5
   1596     10             10
   1596     12            -10
   1600      4              0
   1600     18              0
   1604      8              0
   1604     14              0
   1609      5            -10
   1609     17             10
   1617     11              0
   1620      6            N/A
   1620     16            N/A
   1621      9             20
   1621     13            -20
   1628      0              0
   1629      1             30
   1629     21            -30
   1632      2            -20
   1632     20             20
   1633      7             -5
   1633     15              5
   1637      3              5
   1637     19             -5
   1640     10             10
   1640     12            -10
   1644      4            -25
   1644     18             25
   1648      8            -20
   1648     14             20
   1653      5             10
   1653     17            -10
   1661     11              0
   1664      6            -20
   1664     16             20
   1665      9              0
   1665     13              0
   1672      0              0
   1673      1             10
   1673     21            -10
   1676      2              0
   1676     20              0
   1677      7             10
   1677     15            -10
   1681      3              9
   1681     19             -9
   1684     10              0
   1684     12              0
   1688      4             20
   1688     18            -20
   1692      8              0
   1692     14              0
   1697      5              0
   1697     17              0
   1705     11              0
   1708      6             10
   1708     16            -10
   1709      9            -35
   1709     13             35
   1716      0              0
   1717      1             10
   1717     21            -10
   1720      2            -20
   1720     20             20
   1721      7             -5
   1721     15              5
   1725      3              0
   1725     19              0
   1728     10            -10
   1728     12             10
   1732      4             15
   1732     18            -15
   1736      8            -10
   1736     14             10
   1741      5            -35
   1741     17             35
   1749     11              0
   1752      6            -10
   1752     16             10
   1753      9              0
   1753     13              0
   1760      0              0
   1761      1             10
   1761     21            -10
   1764      2             18
   1764     20            -18
   1765      7            -15
   1765     15             15
   1769      3            -10
   1769     19             10
   1772     10            -15
   1772     12             15
   1776      4             30
   1776     18            -30
   1780      8              5
   1780     14             -5
   1785      5             20
   1785     17            -20
   1793     11              0
   1796      6            -15
   1796     16             15
   1797      9            -30
   1797     13             30
   1804      0              0
   1805      1            N/A
   1805     21            N/A
   1808      2             20
   1808     20            -20
   1809      7              5
   1809     15             -5
   1813      3             15
   1813     19            -15
   1816     10             30
   1816     12            -30
   1820      4             20
   1820     18            -20
   1824      8            -20
   1824     14             20
   1829      5            -35
   1829     17             35
   1837     11              0
   1840      6            -10
   1840     16             10
   1841      9              0
   1841     13              0
   1848      0              0
   1849      1              7
   1849     21             -7
   1852      2            -15
   1852     20             15
   1853      7            -10
   1853     15             10
   1857      3            -15
   1857     19             15
   1860     10             45
   1860     12            -45
   1864      4              0
   1864     18              0
   1868      8             -5
   1868     14              5
   1873      5             10
   1873     17            -10
   1881     11              0
   1884      6             -5
   1884     16              5
   1885      9             10
   1885     13            -10
   1892      0              0
   1893      1              5
   1893     21             -5
   1896      2             20
   1896     20            -20
   1897      7              0
   1897     15              0
   1901      3             -5
   1901     19              5
   1904     10              0
   1904     12              0
   1908      4              0
   1908     18              0
   1912      8              0
   1912     14              0
   1917      5             -5
   1917     17              5
   1925     11              0
   1928      6              0
   1928     16              0
   1929      9             -5
   1929     13              5
   1936      0              0
   1937      1              0
   1937     21              0
   1940      2            -25
   1940     20             25
   1941      7             15
   1941     15            -15
   1945      3              5
   1945     19             -5
   1948     10             -5
   1948     12              5
   1952      4              0
   1952     18              0
   1956      8             30
   1956     14            -30
   1961      5            -10
   1961     17             10
   1969     11              0
   1972      6             10
   1972     16            -10
   1973      9            -15
   1973     13             15
   1980      0              0
   1981      1            -20
   1981     21             20
   1984      2             10
   1984     20            -10
   1985      7              0
   1985     15              0
   1989      3              0
   1989     19              0
   1992     10            -20
   1992     12             20
   1996      4              0
   1996     18              0
