Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(-3,21) to the modular symbol (1,23) - (1,32) + (1,34) of weight 2 and level 37.  Data generated by the following Sage code:

ms37a = kernel(ModularSymbols(Gamma0(37), 2).plus_submodule().cuspidal_submodule().atkin_lehner_operator() - 1).gen(0)
compute_jacobi_fast(ms37a, -3, 21, 2000)

Weight: 2
Index: 37

Coefficients:
====================================
  Delta      r     c(Delta,r)
   -411     25              4
   -411     49              4
   -408      6             -8
   -408     68             -8
   -407     37             -4
   -404     22              2
   -404     52              2
   -403     35             12
   -403     39             12
   -400     28            -12
   -400     46            -12
   -396     14             -8
   -396     60             -8
   -395      7             -4
   -395     67             -4
   -391     33              0
   -391     41              0
   -380      8              0
   -380     66              0
   -379     19            -14
   -379     55            -14
   -371     31              2
   -371     43              2
   -367     15              4
   -367     59              4
   -363      9            N/A
   -363     65            N/A
   -360     26              8
   -360     48              8
   -359     23              2
   -359     51              2
   -344     10              0
   -344     64              0
   -343     29             -2
   -343     45             -2
   -340     20             -8
   -340     54             -8
   -336     16             -4
   -336     58             -4
   -332     36             -2
   -332     38             -2
   -324     34             -6
   -324     40             -6
   -323     11              4
   -323     63              4
   -312     24              8
   -312     50              8
   -308     32             -2
   -308     42             -2
   -307     27            -10
   -307     47            -10
   -303     17              2
   -303     57              2
   -300     12            N/A
   -300     62            N/A
   -299     21              4
   -299     53              4
   -296      0              0
   -295      1             -8
   -295     73             -8
   -292      2             -2
   -292     72             -2
   -287      3              2
   -287     71              2
   -284     30              6
   -284     44              6
   -280      4             12
   -280     70             12
   -275     13              6
   -275     61              6
   -271      5              2
   -271     69              2
   -268     18             12
   -268     56             12
   -263     25             -2
   -263     49             -2
   -260      6             -4
   -260     68             -4
   -259     37             12
   -256     22              0
   -256     52              0
   -255     35              0
   -255     39              0
   -252     28             12
   -252     46             12
   -248     14              0
   -248     60              0
   -247      7              8
   -247     67              8
   -243     33            N/A
   -243     41            N/A
   -232      8            -12
   -232     66            -12
   -231     19              2
   -231     55              2
   -223     31              6
   -223     43              6
   -219     15             -2
   -219     59             -2
   -215      9              0
   -215     65              0
   -212     26             -6
   -212     48             -6
   -211     23             -6
   -211     51             -6
   -196     10              0
   -196     64              0
   -195     29             -4
   -195     45             -4
   -192     20            N/A
   -192     54            N/A
   -188     16             -6
   -188     58             -6
   -184     36              0
   -184     38              0
   -176     34              0
   -176     40              0
   -175     11             -2
   -175     63             -2
   -164     24              2
   -164     50              2
   -160     32              8
   -160     42              8
   -159     27             -2
   -159     47             -2
   -155     17             -4
   -155     57             -4
   -152     12              4
   -152     62              4
   -151     21              4
   -151     53              4
   -148      0             12
   -147      1            N/A
   -147     73            N/A
   -144      2             -8
   -144     72             -8
   -139      3              0
   -139     71              0
   -136     30             -8
   -136     44             -8
   -132      4             -6
   -132     70             -6
   -127     13             -2
   -127     61             -2
   -123      5             -6
   -123     69             -6
   -120     18              4
   -120     56              4
   -115     25             12
   -115     49             12
   -112      6              8
   -112     68              8
   -111     37             -4
   -108     22            N/A
   -108     52            N/A
   -107     35              0
   -107     39              0
   -104     28              0
   -104     46              0
   -100     14              6
   -100     60              6
    -99      7              8
    -99     67              8
    -95     33              0
    -95     41              0
    -84      8              2
    -84     66              2
    -83     19              2
    -83     55              2
    -75     31            N/A
    -75     43            N/A
    -71     15             -2
    -71     59             -2
    -67      9            -12
    -67     65            -12
    -64     26             -4
    -64     48             -4
    -63     23             -4
    -63     51             -4
    -48     10            N/A
    -48     64            N/A
    -47     29              2
    -47     45              2
    -44     20              2
    -44     54              2
    -40     16             -4
    -40     58             -4
    -36     36              4
    -36     38              4
    -28     34             -6
    -28     40             -6
    -27     11            N/A
    -27     63            N/A
    -16     24              4
    -16     50              4
    -12     32            N/A
    -12     42            N/A
    -11     27             -2
    -11     47             -2
     -7     17              2
     -7     57              2
     -4     12             -2
     -4     62             -2
     -3     21            N/A
     -3     53            N/A
