Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(1,1) to the modular symbol (1,23) + (1,32) + (1,34) - (1,35) of weight 2 and level 37.  Data generated by the following Sage code:

ms37b = kernel(ModularSymbols(Gamma0(37), 2).minus_submodule().cuspidal_submodule().atkin_lehner_operator() + 1).gen(0)
jj = compute_jacobi_fast(ms37b, 1, 1, 2000)

Weight: 2
Index: 37

Coefficients:
====================================
  Delta      r     c(Delta,r)
   1036      0              0
   1037      1              4
   1037     73             -4
   1040      2              0
   1040     72              0
   1045      3             -4
   1045     71              4
   1048     30             -4
   1048     44              4
   1052      4              2
   1052     70             -2
   1057     13              0
   1057     61              0
   1061      5              4
   1061     69             -4
   1064     18              0
   1064     56              0
   1069     25              4
   1069     49             -4
   1072      6              0
   1072     68              0
   1073     37              0
   1076     22              0
   1076     52              0
   1077     35             -2
   1077     39              2
   1080     28              0
   1080     46              0
   1084     14             10
   1084     60            -10
   1085      7              4
   1085     67             -4
   1089     33            N/A
   1089     41            N/A
   1100      8              2
   1100     66             -2
   1101     19              0
   1101     55              0
   1109     31              2
   1109     43             -2
   1113     15             -6
   1113     59              6
   1117      9             -2
   1117     65              2
   1120     26              0
   1120     48              0
   1121     23              4
   1121     51             -4
   1136     10              0
   1136     64              0
   1137     29              2
   1137     45             -2
   1140     20             -4
   1140     54              4
   1144     16             -4
   1144     58              4
   1148     36             -2
   1148     38              2
   1156     34            N/A
   1156     40            N/A
   1157     11              0
   1157     63              0
   1168     24              4
   1168     50             -4
   1172     32             -4
   1172     42              4
   1173     27              0
   1173     47              0
   1177     17              8
   1177     57             -8
   1180     12              0
   1180     62              0
   1181     21              6
   1181     53             -6
   1184      0              0
   1185      1              0
   1185     73              0
   1188      2             -2
   1188     72              2
   1193      3              2
   1193     71             -2
   1196     30              4
   1196     44             -4
   1200      4              0
   1200     70              0
   1205     13             -4
   1205     61              4
   1209      5             -4
   1209     69              4
   1212     18              2
   1212     56             -2
   1217     25             -2
   1217     49              2
   1220      6              4
   1220     68             -4
   1221     37              0
   1224     22              0
   1224     52              0
   1225     35            N/A
   1225     39            N/A
   1228     28             -6
   1228     46              6
   1232     14              4
   1232     60             -4
   1233      7              8
   1233     67             -8
   1237     33             -8
   1237     41              8
   1248      8              0
   1248     66              0
   1249     19              2
   1249     55             -2
   1257     31             -6
   1257     43              6
   1261     15              0
   1261     59              0
   1265      9              4
   1265     65             -4
   1268     26              4
   1268     48             -4
   1269     23             -2
   1269     51              2
   1284     10              0
   1284     64              0
   1285     29              4
   1285     45             -4
   1288     20              8
   1288     54             -8
   1292     16              0
   1292     58              0
   1296     36            N/A
   1296     38            N/A
   1304     34              0
   1304     40              0
   1305     11              0
   1305     63              0
   1316     24              2
   1316     50             -2
   1320     32              8
   1320     42             -8
   1321     27              2
   1321     47             -2
   1325     17              2
   1325     57             -2
   1328     12              0
   1328     62              0
   1329     21             -6
   1329     53              6
   1332      0              0
   1333      1             -4
   1333     73              4
   1336      2              8
   1336     72             -8
   1341      3             -4
   1341     71              4
   1344     30             -4
   1344     44              4
   1348      4             -2
   1348     70              2
   1353     13              2
   1353     61             -2
   1357      5              4
   1357     69             -4
   1360     18             -8
   1360     56              8
   1365     25              0
   1365     49              0
   1368      6              0
   1368     68              0
   1369     37            N/A
   1372     22              2
   1372     52             -2
   1373     35              0
   1373     39              0
   1376     28              0
   1376     46              0
   1380     14             -4
   1380     60              4
   1381      7              2
   1381     67             -2
   1385     33             -4
   1385     41              4
   1396      8              0
   1396     66              0
   1397     19              2
   1397     55             -2
   1405     31              4
   1405     43             -4
   1409     15             -2
   1409     59              2
   1413      9              0
   1413     65              0
   1416     26             -4
   1416     48              4
   1417     23             -4
   1417     51              4
   1432     10            -12
   1432     64             12
   1433     29              4
   1433     45             -4
   1436     20             -6
   1436     54              6
   1440     16              0
   1440     58              0
   1444     36            N/A
   1444     38            N/A
   1452     34              4
   1452     40             -4
   1453     11              6
   1453     63             -6
   1464     24             12
   1464     50            -12
   1468     32             -4
   1468     42              4
   1469     27             -4
   1469     47              4
   1473     17             -4
   1473     57              4
   1476     12              4
   1476     62             -4
   1477     21             -6
   1477     53              6
   1480      0              0
   1481      1              2
   1481     73             -2
   1484      2              2
   1484     72             -2
   1489      3              0
   1489     71              0
   1492     30              2
   1492     44             -2
   1496      4             -4
   1496     70              4
   1501     13             -4
   1501     61              4
   1505      5             -4
   1505     69              4
   1508     18              0
   1508     56              0
   1513     25             -4
   1513     49              4
   1516      6             -2
   1516     68              2
   1517     37              0
   1520     22              0
   1520     52              0
   1521     35            N/A
   1521     39            N/A
   1524     28             -2
   1524     46              2
   1528     14              4
   1528     60             -4
   1529      7             -4
   1529     67              4
   1533     33             -2
   1533     41              2
   1544      8              0
   1544     66              0
   1545     19             12
   1545     55            -12
   1553     31              4
   1553     43             -4
   1557     15              4
   1557     59             -4
   1561      9             -2
   1561     65              2
   1564     26              0
   1564     48              0
   1565     23             -4
   1565     51              4
   1580     10              0
   1580     64              0
   1581     29             -4
   1581     45              4
   1584     20              0
   1584     54              0
   1588     16             -6
   1588     58              6
   1592     36              4
   1592     38             -4
   1600     34            N/A
   1600     40            N/A
   1601     11              0
   1601     63              0
   1612     24             -4
   1612     50              4
   1616     32              4
   1616     42             -4
   1617     27              0
   1617     47              0
   1621     17              2
   1621     57             -2
   1624     12              4
   1624     62             -4
   1625     21              0
   1625     53              0
   1628      0              0
   1629      1              0
   1629     73              0
   1632      2              0
   1632     72              0
   1637      3              2
   1637     71             -2
   1640     30             -8
   1640     44              8
   1644      4              8
   1644     70             -8
   1649     13              0
   1649     61              0
   1653      5             -8
   1653     69              8
   1656     18              0
   1656     56              0
   1661     25             -4
   1661     49              4
   1664      6             -8
   1664     68              8
   1665     37              0
   1668     22              0
   1668     52              0
   1669     35              0
   1669     39              0
   1672     28              8
   1672     46             -8
   1676     14             -2
   1676     60              2
   1677      7              4
   1677     67             -4
   1681     33            N/A
   1681     41            N/A
   1692      8            -12
   1692     66             12
   1693     19             -4
   1693     55              4
   1701     31              4
   1701     43             -4
   1705     15             -4
   1705     59              4
   1709      9              2
   1709     65             -2
   1712     26              0
   1712     48              0
   1713     23              2
   1713     51             -2
   1728     10              4
   1728     64             -4
   1729     29              4
   1729     45             -4
   1732     20             -2
   1732     54              2
   1736     16              8
   1736     58             -8
   1740     36              4
   1740     38             -4
   1748     34              4
   1748     40             -4
   1749     11            -10
   1749     63             10
   1760     24              0
   1760     50              0
   1764     32            N/A
   1764     42            N/A
   1765     27              0
   1765     47              0
   1769     17              0
   1769     57              0
   1772     12             -6
   1772     62              6
   1773     21              4
   1773     53             -4
   1776      0              0
   1777      1             -8
   1777     73              8
   1780      2              0
